Date,Crude,NaturalGas,Cases,Month
11/1/19,60.17,2.54,0,November
11/4/19,62.52,2.77,0,November
11/5/19,62.72,2.77,0,November
11/6/19,62.11,2.82,0,November
11/7/19,62.6,2.84,0,November
11/8/19,62,2.87,0,November
11/12/19,62.19,2.72,0,November
11/13/19,62.27,2.66,0,November
11/14/19,62.46,2.68,0,November
11/15/19,63.32,2.7,0,November
11/18/19,62.82,2.64,0,November
11/19/19,62.37,2.53,0,November
11/20/19,63.8,2.56,0,November
11/21/19,64.99,2.53,0,November
11/22/19,64.83,2.62,0,November
11/25/19,64.67,2.51,0,November
11/26/19,64.82,2.51,0,November
11/27/19,65.03,2.46,0,November
11/29/19,64.5,2.46,0,November
12/2/19,63.2,2.29,0,December
12/3/19,62.95,2.42,0,December
12/4/19,65.25,2.43,0,December
12/5/19,65.67,2.42,0,December
12/6/19,66.5,2.31,0,December
12/9/19,66.44,2.17,0,December
12/10/19,66.57,2.18,0,December
12/11/19,65.37,2.28,0,December
12/12/19,66.67,2.28,0,December
12/13/19,67.44,2.28,0,December
12/16/19,68.04,2.34,0,December
12/17/19,68.99,2.3,0,December
12/18/19,69.12,2.26,0,December
12/19/19,69.7,2.21,0,December
12/20/19,68.66,2.27,0,December
12/23/19,67.49,2.17,0,December
12/24/19,69.26,2.11,0,December
12/26/19,69.26,2.09,0,December
12/27/19,68.91,1.75,0,December
12/30/19,68.3,2.06,0,December
12/31/19,67.77,2.09,27,December
1/2/20,67.05,2.05,27,January
1/3/20,69.08,2.06,44,January
1/6/20,70.25,2.1,59,January
1/7/20,68.74,2.17,59,January
1/8/20,67.31,2.09,59,January
1/9/20,66.58,2.05,59,January
1/10/20,66.77,2.05,59,January
1/13/20,64.14,2.03,60,January
1/14/20,64.45,2.15,60,January
1/15/20,63.29,2.01,61,January
1/16/20,64.63,2.06,61,January
1/17/20,64.05,2.07,66,January
1/21/20,63.66,1.98,392,January
1/22/20,62.11,1.89,534,January
1/23/20,61.26,1.95,631,January
1/24/20,59.34,1.91,897,January
1/27/20,58.54,2.03,2820,January
1/28/20,59.37,1.96,4587,January
1/29/20,59.46,1.93,6067,January
1/30/20,57.72,1.94,7823,January
1/31/20,57.77,1.91,9826,January
2/3/20,54,1.9,17372,February
2/4/20,53.9,1.89,20615,February
2/5/20,55.36,1.89,24522,February
2/6/20,55.18,1.86,28273,February
2/7/20,54.53,1.93,31491,February
2/10/20,53.39,1.85,40540,February
2/11/20,54,1.85,43105,February
2/12/20,55.54,1.91,45177,February
2/13/20,56.34,1.95,60328,February
2/14/20,57.37,1.93,64543,February
2/18/20,57.35,2.04,73327,February
2/19/20,59.72,2.01,75191,February
2/20/20,59.72,1.98,75723,February
2/21/20,58.6,1.96,76719,February
2/24/20,56.04,1.94,79339,February
2/25/20,56.71,1.93,80132,February
2/26/20,54.96,1.96,80995,February
2/27/20,52.19,1.78,82101,February
2/28/20,51.31,1.79,83365,February
3/2/20,52.52,1.75,89068,March
3/3/20,52.24,1.78,90865,March
3/4/20,51.86,1.83,93077,March
3/5/20,51.29,1.89,95316,March
3/6/20,45.6,1.76,98172,March
3/9/20,35.33,1.74,109695,March
3/10/20,36.66,1.91,114235,March
3/11/20,34.45,1.96,118613,March
3/12/20,31.05,1.82,125497,March
3/13/20,33,1.94,133853,March
3/16/20,28.04,1.89,167418,March
3/17/20,28.04,1.89,180094,March
3/18/20,26.93,1.73,194843,March
3/19/20,23.3,1.68,213149,March
3/20/20,25.4,1.76,242374,March
3/23/20,25.06,1.7,338235,March
3/24/20,23.75,1.73,377968,March
3/25/20,25.62,1.8,416881,March
3/26/20,23.55,1.73,468092,March
3/27/20,22.39,1.7,527839,March
3/30/20,19.07,1.65,715377,March
3/31/20,19.19,1.71,777187,March
4/1/20,14.97,1.69,851587,April
4/2/20,20.24,1.55,928491,April
4/3/20,24.33,1.5,1006063,April
4/6/20,22.58,1.64,1245601,April
4/7/20,22.1,1.83,1316988,April
4/8/20,25.22,1.86,1391881,April
4/9/20,20.23,1.74,1476792,April
4/14/20,21.74,1.76,1873639,April
4/15/20,19.8,1.68,1948863,April
4/16/20,18.69,1.59,2029874,April
4/17/20,19.75,1.71,2114209,April
4/20/20,17.36,1.78,2355774,April
4/21/20,9.12,1.92,2433048,April